free_annotation
cell__1	Acinar cells
cell__2	Ductal - terminal ductal like
cell__3	Ductal - terminal ductal like
cell__4	Ductal - CRISP3 high/centroacinar like
cell__5	Cancer clone A
cell__6	Cancer clone A
cell__7	Ductal - CRISP3 high/centroacinar like
cell__8	Ductal - terminal ductal like
cell__9	Ductal - MHC Class II
cell__10	Ductal - terminal ductal like
cell__11	Ductal - terminal ductal like
cell__12	Cancer clone B
cell__13	Ductal - CRISP3 high/centroacinar like
cell__14	Ductal - CRISP3 high/centroacinar like
cell__15	Ductal - terminal ductal like
cell__16	Ductal - terminal ductal like
cell__17	Ductal - CRISP3 high/centroacinar like
cell__18	Ductal - CRISP3 high/centroacinar like
cell__19	Cancer clone A
cell__20	Ductal - MHC Class II
cell__21	Cancer clone B
cell__22	Ductal - terminal ductal like
cell__23	Ductal - CRISP3 high/centroacinar like
cell__24	Ductal - MHC Class II
cell__25	Ductal - terminal ductal like
cell__26	Cancer clone B
cell__27	Ductal - CRISP3 high/centroacinar like
cell__28	mDCs A
cell__29	Ductal - APOL1 high/hypoxic
cell__30	Ductal - APOL1 high/hypoxic
cell__31	Cancer clone B
cell__32	Ductal - terminal ductal like
cell__33	Ductal - CRISP3 high/centroacinar like
cell__34	Cancer clone B
cell__35	Ductal - terminal ductal like
cell__36	Ductal - APOL1 high/hypoxic
cell__37	Cancer clone B
cell__38	Ductal - CRISP3 high/centroacinar like
cell__39	Cancer clone A
cell__40	Cancer clone A
cell__41	Cancer clone B
cell__42	Ductal - CRISP3 high/centroacinar like
cell__43	mDCs A
cell__44	Tuft cells
cell__45	mDCs B
cell__46	Ductal - CRISP3 high/centroacinar like
cell__47	Ductal - APOL1 high/hypoxic
cell__48	Ductal - MHC Class II
cell__49	Ductal - CRISP3 high/centroacinar like
cell__50	Ductal - terminal ductal like
cell__51	Cancer clone A
cell__52	Ductal - CRISP3 high/centroacinar like
cell__53	Ductal - CRISP3 high/centroacinar like
cell__54	Ductal - terminal ductal like
cell__55	Cancer clone A
cell__56	Ductal - APOL1 high/hypoxic
cell__57	Ductal - APOL1 high/hypoxic
cell__58	Ductal - MHC Class II
cell__59	Ductal - CRISP3 high/centroacinar like
cell__60	Cancer clone B
cell__61	Ductal - CRISP3 high/centroacinar like
cell__62	Ductal - MHC Class II
cell__63	Ductal - terminal ductal like
cell__64	Ductal - terminal ductal like
cell__65	Ductal - CRISP3 high/centroacinar like
cell__66	Cancer clone A
cell__67	Ductal - terminal ductal like
cell__68	Ductal - APOL1 high/hypoxic
cell__69	Ductal - MHC Class II
cell__70	Cancer clone A
cell__71	Ductal - MHC Class II
cell__72	Ductal - CRISP3 high/centroacinar like
cell__73	Ductal - CRISP3 high/centroacinar like
cell__74	Ductal - APOL1 high/hypoxic
cell__75	Ductal - CRISP3 high/centroacinar like
cell__76	Ductal - CRISP3 high/centroacinar like
cell__77	Ductal - CRISP3 high/centroacinar like
cell__78	Cancer clone B
cell__79	Cancer clone B
cell__80	Ductal - MHC Class II
cell__81	Cancer clone A
cell__82	pDCs
cell__83	Ductal - CRISP3 high/centroacinar like
cell__84	Ductal - CRISP3 high/centroacinar like
cell__85	Cancer clone A
cell__86	Ductal - APOL1 high/hypoxic
cell__87	mDCs B
cell__88	Ductal - APOL1 high/hypoxic
cell__89	Ductal - CRISP3 high/centroacinar like
cell__90	Ductal - APOL1 high/hypoxic
cell__91	Ductal - MHC Class II
cell__92	Ductal - CRISP3 high/centroacinar like
cell__93	Ductal - terminal ductal like
cell__94	Ductal - APOL1 high/hypoxic
cell__95	Ductal - CRISP3 high/centroacinar like
cell__96	Endocrine cells
cell__97	Endothelial cells
cell__98	Ductal - terminal ductal like
cell__99	Ductal - terminal ductal like
cell__100	Ductal - MHC Class II
cell__101	Ductal - CRISP3 high/centroacinar like
cell__102	mDCs A
cell__103	Ductal - CRISP3 high/centroacinar like
cell__104	Ductal - APOL1 high/hypoxic
cell__105	Ductal - terminal ductal like
cell__106	Cancer clone B
cell__107	Ductal - CRISP3 high/centroacinar like
cell__108	Ductal - CRISP3 high/centroacinar like
cell__109	Ductal - CRISP3 high/centroacinar like
cell__110	Ductal - MHC Class II
cell__111	Ductal - MHC Class II
cell__112	Ductal - MHC Class II
cell__113	Ductal - CRISP3 high/centroacinar like
cell__114	Ductal - CRISP3 high/centroacinar like
cell__115	Ductal - CRISP3 high/centroacinar like
cell__116	Ductal - MHC Class II
cell__117	Ductal - MHC Class II
cell__118	Ductal - CRISP3 high/centroacinar like
cell__119	Ductal - APOL1 high/hypoxic
cell__120	Ductal - MHC Class II
cell__121	Ductal - MHC Class II
cell__122	Ductal - CRISP3 high/centroacinar like
cell__123	Ductal - terminal ductal like
cell__124	Ductal - APOL1 high/hypoxic
cell__125	Ductal - APOL1 high/hypoxic
cell__126	Macrophages A
cell__127	mDCs B
cell__128	Cancer clone B
cell__129	Ductal - MHC Class II
cell__130	Ductal - CRISP3 high/centroacinar like
cell__131	Ductal - MHC Class II
cell__132	Ductal - CRISP3 high/centroacinar like
cell__133	Ductal - terminal ductal like
cell__134	Ductal - CRISP3 high/centroacinar like
cell__135	Cancer clone A
cell__136	Ductal - terminal ductal like
cell__137	Ductal - CRISP3 high/centroacinar like
cell__138	Mast cells
cell__139	Ductal - CRISP3 high/centroacinar like
cell__140	Ductal - CRISP3 high/centroacinar like
cell__141	Ductal - CRISP3 high/centroacinar like
cell__142	Ductal - terminal ductal like
cell__143	Ductal - terminal ductal like
cell__144	Ductal - APOL1 high/hypoxic
cell__145	Cancer clone A
cell__146	Ductal - CRISP3 high/centroacinar like
cell__147	Ductal - CRISP3 high/centroacinar like
cell__148	Ductal - CRISP3 high/centroacinar like
cell__149	Ductal - CRISP3 high/centroacinar like
cell__150	Ductal - terminal ductal like
cell__151	Cancer clone B
cell__152	Ductal - CRISP3 high/centroacinar like
cell__153	Ductal - MHC Class II
cell__154	Mast cells
cell__155	Ductal - MHC Class II
cell__156	Ductal - CRISP3 high/centroacinar like
cell__157	Ductal - CRISP3 high/centroacinar like
cell__158	Ductal - terminal ductal like
cell__159	Ductal - APOL1 high/hypoxic
cell__160	Ductal - MHC Class II
cell__161	Cancer clone B
cell__162	Ductal - terminal ductal like
cell__163	Ductal - terminal ductal like
cell__164	Cancer clone B
cell__165	Mast cells
cell__166	Ductal - MHC Class II
cell__167	Ductal - terminal ductal like
cell__168	Cancer clone A
cell__169	Cancer clone B
cell__170	Ductal - MHC Class II
cell__171	Cancer clone B
cell__172	Ductal - CRISP3 high/centroacinar like
cell__173	Cancer clone B
cell__174	mDCs B
cell__175	Ductal - MHC Class II
cell__176	Ductal - CRISP3 high/centroacinar like
cell__177	Ductal - terminal ductal like
cell__178	Ductal - MHC Class II
cell__179	Ductal - CRISP3 high/centroacinar like
cell__180	Ductal - terminal ductal like
cell__181	Ductal - CRISP3 high/centroacinar like
cell__182	Ductal - APOL1 high/hypoxic
cell__183	Ductal - CRISP3 high/centroacinar like
cell__184	Ductal - MHC Class II
